Store,RR State,Store Format,Store Name,City,Timing
3032,Orissa,FRESH,Cantonment road,CUTTACK,9am-10pm
3081,Orissa,FRESH,Samantaraypur,BHUBANESHWAR,9am-10pm
2149,Punjab,FRESH,Majitha Road,AMRITSAR,9am-10pm
2150,Punjab,FRESH,Chah Rajwala (Ram Tirath Chowk),AMRITSAR,9am-10pm
2161,Punjab,FRESH,"Div No. 3 (Mohar Singh Nagar),Gobind",LUDHIANA,9am-10pm
2162,Punjab,FRESH,Dugri Road Ex -1 Market,LUDHIANA,9am-10pm
2164,Punjab,FRESH,"Dugri Road, Model Town,Walia Dept",LUDHIANA,9am-10pm
2373,Punjab,FRESH,"Raj Bhavan,Hindu College",AMRITSAR,9am-10pm
2595,Punjab,FRESH,"Shiva International,Cheratha Road",AMRITSAR,9am-10pm
2664,Punjab,FRESH,Phase V,MOHALI,9am-10pm
2668,Punjab,FRESH,Habopwal,LUDHIANA,9am-10pm
2669,Punjab,FRESH,PhaseX,MOHALI,9am-10pm
2670,Punjab,FRESH,Shaheed Bhagat Singh Nagar,LUDHIANA,9am-10pm
2873,Punjab,FRESH,KidwaiNagar,LUDHIANA,9am-10pm
2935,Punjab,FRESH,RF Kharar,MOHALI,9am-10pm
2936,Punjab,FRESH,RF Zirakpur,MOHALI,9am-10pm
2952,Punjab,FRESH,RF Sec-70 Mohali,MOHALI,9am-10pm
2987,Punjab,FRESH,"Prem Colony, Opp-Gaba Hospital",Yamunanagar,9am-10pm
2988,Punjab,FRESH,"Opp Prem Hospital , Jagadhari",Yamunanagar,9am-10pm
2076,Rajasthan,FRESH,Ramganj,JAIPUR,9am-10pm
2078,Rajasthan,FRESH,Vijay Path,JAIPUR,9am-10pm
2079,Rajasthan,FRESH,Khatipura,JAIPUR,9am-10pm
2080,Rajasthan,FRESH,Shastri Nagar,JAIPUR,9am-10pm
2081,Rajasthan,FRESH,Haldiya Plaza,JAIPUR,9am-10pm
2082,Rajasthan,FRESH,Raja Park,JAIPUR,9am-10pm
2096,Rajasthan,FRESH,Vidhyadhar Nagar,JAIPUR,9am-10pm
2097,Rajasthan,FRESH,Vaishali Nagar,JAIPUR,9am-10pm
2100,Rajasthan,FRESH,New Sanagner Road,JAIPUR,9am-10pm
2654,Rajasthan,FRESH,Subash Chowk,JAIPUR,9am-10pm
2683,Rajasthan,FRESH,Muralipura,JAIPUR,9am-10pm
2685,Rajasthan,FRESH,Gopalpura Bye Pass,JAIPUR,9am-10pm
2689,Rajasthan,FRESH,Sanganer 2,JAIPUR,9am-10pm
2773,Rajasthan,FRESH,Jhotwara,JAIPUR,9am-10pm
2802,Rajasthan,FRESH,Daitya Magri,UDAIPUR,9am-10pm
2803,Rajasthan,FRESH,TakComplex,UDAIPUR,9am-10pm
2818,Rajasthan,FRESH,Maharani Farms,JAIPUR,9am-10pm
2827,Rajasthan,FRESH,Khirni Phatak,JAIPUR,9am-10pm
2832,Rajasthan,FRESH,HiranMagari,UDAIPUR,9am-10pm
2833,Rajasthan,FRESH,MalviyaNagar,JAIPUR,9am-10pm
3004,Rajasthan,FRESH,Pal Road,JODHPUR,9am-10pm
3005,Rajasthan,FRESH,Paota,JODHPUR,9am-10pm
3006,Rajasthan,FRESH,Ratanada,JODHPUR,9am-10pm
